customer_id,age,monthly_income,loan_amount,credit_score,device_id,device_age_days,is_emulator,is_rooted,ip_address,ip_net_type,declared_city,ip_city,is_address_match,apply_hour,risk_label
C039608,54,3180.67,1722.04,380,DC71358756444,294,0,0,61.135.215,residential,北京市,北京市,1,22,normal
C044702,31,27723.47,299107.64,692,DFCE87B041565,236,0,0,113.54.99,residential,天津市,天津市,1,15,first_party_fraud
C045457,50,75396.53,66717.08,442,D82D5061B537C,334,0,0,61.135.102,residential,哈尔滨市,哈尔滨市,1,16,normal
C045945,62,3557.88,24021.6,405,DC6A330FAE7BD,351,0,0,211.138.86,residential,重庆市,重庆市,1,23,normal
C046444,68,5032.91,1261.95,710,DF1B286A70E1B,308,0,0,113.54.173,residential,哈尔滨市,哈尔滨市,1,9,normal
C047970,59,2791.05,91332.7,806,D0C15FD9CB423,325,0,0,171.106.103,residential,郑州市,郑州市,1,19,normal
C048466,44,27015.96,2060.35,401,DA85109F5297E,357,0,0,218.26.219,residential,乌鲁木齐市,乌鲁木齐市,1,20,normal
C048823,23,55452.22,10288.84,658,D072EF2CD6C12,223,0,0,113.54.148,residential,西安市,西安市,1,20,normal
C049254,48,48292.8,1387.25,310,D4984D1BF4F68,133,0,0,218.26.135,residential,合肥市,合肥市,1,21,normal
C049972,44,4123.81,226784.75,778,D9577C836F548,97,0,0,223.104.59,residential,武汉市,哈尔滨市,0,11,normal
C051095,30,85950.55,53968.89,800,D7F85F36A592C,96,0,0,218.26.119,residential,重庆市,重庆市,1,12,normal
C051282,45,8776.72,21827.62,510,D4DC49B5E7099,274,0,0,119.32.101,residential,上海市,上海市,1,8,normal
C051308,31,7546.72,221569.31,510,D4E8082A896B7,254,0,0,119.32.11,residential,上海市,上海市,1,9,normal
C056600,52,123372.75,3704.39,507,D8532A1C5BBD0,383,0,0,211.138.1,residential,重庆市,重庆市,1,12,loan_fraud
C056633,57,37237.65,2135.89,315,D6E6636AFDD61,204,0,0,218.26.165,residential,武汉市,武汉市,1,9,normal
C056957,19,7045.17,7418.48,462,DB05ECE73B6F6,99,0,0,61.135.212,residential,武汉市,武汉市,1,10,normal
C057049,38,99432.65,1583.05,442,DDB2B4C39EEF0,87,0,0,61.135.58,residential,长沙市,长沙市,1,13,normal
C060637,65,3500.94,141790.51,399,D2F0C6ECC4CFD,312,0,0,223.104.190,residential,成都市,北京市,0,12,normal
C061197,22,2893.83,12346.24,536,DC68B2C188753,342,0,0,39.144.18,residential,深圳市,苏州市,0,12,normal
C062005,23,4063.46,1747.53,511,DDCFA3014A4ED,44,0,0,218.26.220,residential,成都市,成都市,1,10,normal
C068201,70,66670.94,11792.85,516,DB492B80413AB,104,0,0,120.204.143,residential,南京市,天津市,0,8,normal
C072102,36,2010.46,18707.21,382,DF75B9D9B9796,63,0,0,211.138.134,residential,苏州市,苏州市,1,9,normal
C072381,48,5698.75,6295.49,536,DD4CAA339E195,243,0,0,223.104.209,residential,郑州市,郑州市,1,18,normal
C073545,33,12791.75,2852.69,390,DCD2643E76598,355,0,0,120.204.116,residential,南京市,南京市,1,13,normal
C073602,66,38399.93,160215.5,428,DD846AAABDC68,348,0,0,119.32.226,residential,上海市,上海市,1,9,normal
C074500,33,3860.88,1343.52,619,DF8A2DB4C0229,328,0,0,211.138.12,residential,西安市,北京市,0,13,normal
C075743,35,3293.99,3250.86,451,DFEF1C083253C,68,0,0,211.138.244,residential,杭州市,杭州市,1,23,normal
C077915,57,65616.21,37067.95,382,DD1E8F8162689,167,0,0,113.54.254,residential,北京市,北京市,1,9,normal
C078817,41,3712.0,204548.79,799,D5806EF1EFE0A,75,0,0,103.86.10,datacenter,武汉市,武汉市,1,15,synthetic_identity
C079515,68,7797.85,302902.65,757,DA2F9EA8FC9C9,108,0,0,119.32.153,residential,长沙市,长沙市,1,17,normal
C079680,25,11139.63,33360.25,511,D7F8D60D07836,274,0,0,120.204.204,residential,北京市,北京市,1,22,normal
C081234,63,4478.94,68636.91,464,DCDD7DEDBF15D,157,0,0,211.138.123,residential,广州市,深圳市,0,8,normal
C081464,30,84347.12,212779.78,667,DEB60FA2E8AA5,114,0,0,171.106.205,residential,广州市,苏州市,0,12,normal
C082195,32,11037.66,11653.6,692,DCAA4BDF2DE7E,48,0,0,115.47.120,residential,厦门市,厦门市,1,8,normal
C083461,42,2249.45,9358.44,527,DE06CE5E0D02D,347,0,0,120.204.92,residential,昆明市,昆明市,1,20,normal
C084822,65,15449.21,211788.93,605,D97E75F33FBFC,211,0,0,171.106.169,residential,南京市,南京市,1,13,normal
C085679,39,64963.38,5315.27,473,DB600CB2D5489,144,0,0,61.135.80,residential,成都市,成都市,1,19,normal
C085774,66,8800.5,31406.8,731,DA330532219AB,171,0,0,61.135.65,residential,乌鲁木齐市,乌鲁木齐市,1,11,normal
C086275,61,91335.46,45980.89,776,D800111D5C3E3,55,0,0,171.106.119,residential,杭州市,杭州市,1,13,normal
C087440,64,4657.17,12539.01,552,D90F133DE9F23,300,0,0,39.144.124,residential,广州市,广州市,1,23,normal
C087688,65,73052.74,104724.22,598,DF340B619BAE2,76,0,0,211.138.81,residential,北京市,北京市,1,15,normal
C089222,39,52802.1,4288.03,779,D82E25DCCB2AE,81,0,0,39.144.252,residential,上海市,上海市,1,18,normal
C090436,40,11781.82,163012.95,415,D5085B2255F24,234,0,0,171.106.164,residential,乌鲁木齐市,乌鲁木齐市,1,16,normal
C091309,61,3821.01,4763.26,666,D237439EE95C5,290,0,0,120.204.73,residential,哈尔滨市,哈尔滨市,1,15,normal
C092240,60,19286.93,8001.33,710,DA7DFCBA8D234,349,0,0,113.54.16,residential,重庆市,重庆市,1,21,normal
C094207,56,19744.05,209927.71,457,DEC9120FDAEA2,212,0,0,115.47.137,residential,乌鲁木齐市,乌鲁木齐市,1,10,normal
C094636,28,19923.02,2421.55,720,D0752D54C5F67,235,0,0,119.32.160,residential,昆明市,昆明市,1,13,normal
C094703,33,24227.07,18393.79,546,D873315103D96,108,0,0,61.135.14,residential,厦门市,厦门市,1,23,normal
C095073,26,30018.25,1046.6,754,D394CB69A8073,43,0,0,115.47.7,residential,深圳市,深圳市,1,22,normal
C096615,43,2006.21,2981.76,520,D5EF04155C42D,284,0,0,211.138.105,residential,郑州市,郑州市,1,16,normal
C098377,70,59882.73,13728.03,379,D22EE707204B3,88,0,0,39.144.108,residential,苏州市,苏州市,1,14,normal
C098459,26,3935.08,24573.28,306,D13F4EAE22FF1,165,0,0,211.138.209,residential,武汉市,武汉市,1,16,normal
C099365,50,12722.54,2473.29,347,D469C7F5900C8,81,0,0,61.135.219,residential,成都市,成都市,1,23,normal
C099931,44,26671.91,23807.12,574,DA78E39117676,146,0,0,61.135.227,residential,西安市,西安市,1,17,normal
