host_id,event_time,event_type,action,chain_phase,technique,variant,domain,bytes_kb,city,is_abnormal,peer_host
H004080,2026-07-01 10:52:51,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004953,2026-07-01 10:55:16,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009903,2026-07-01 10:59:20,login,登录办公终端,,T1078,,,,天津市,,
H009982,2026-07-01 10:59:34,login,登录办公终端,,T1078,,,,东莞市,,
H000559,2026-07-01 11:00:35,login,登录办公终端,,T1078,,,,,,
H004956,2026-07-01 11:05:13,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H006311,2026-07-01 11:08:11,login,登录办公终端,,T1078,,,,,,
H006566,2026-07-01 11:08:12,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H000117,2026-07-01 11:09:02,email_open,阅读邮件（内部往来 4）,,,,oa.company.cn,,,,
H004080,2026-07-01 11:10:08,download,下载文档/更新包 3MB,,T1204.002,,,16634,,,
H003416,2026-07-01 11:11:11,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H002223,2026-07-01 11:14:35,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H003533,2026-07-01 11:15:15,upload,上传附件 2MB,,T1567,,docs.company.cn,3932,,,
H003910,2026-07-01 11:15:27,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H008981,2026-07-01 11:18:48,data_stage,打包资料压缩包 90MB（内部协作）,,T1074.001,,,92160,,,
H006896,2026-07-01 11:19:08,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H000564,2026-07-01 11:21:32,login,登录办公终端,,T1078,,,,,,
H002907,2026-07-01 11:23:32,login,登录办公终端,,T1078,,,,,,
H006473,2026-07-01 11:25:31,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H007030,2026-07-01 11:29:37,login,登录办公终端,,T1078,,,,西安市,,
H008154,2026-07-01 11:31:54,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H000117,2026-07-01 11:33:50,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H003416,2026-07-01 11:35:06,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H000763,2026-07-01 11:37:24,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H000763,2026-07-01 11:40:09,login,登录办公终端,,T1078,,,,,,
H003910,2026-07-01 11:41:11,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004724,2026-07-01 11:50:22,upload,上传附件 2MB,,T1567,,docs.company.cn,8516,,,
H009170,2026-07-01 11:54:50,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H004953,2026-07-01 12:00:48,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H003043,2026-07-01 12:01:59,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H001402,2026-07-01 12:07:47,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H005220,2026-07-01 12:11:12,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H005220,2026-07-01 12:17:09,login,登录办公终端,,T1078,,,,,,
H001269,2026-07-01 12:20:03,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H009979,2026-07-01 12:20:57,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006049,2026-07-01 12:24:04,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003533,2026-07-01 12:32:13,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003893,2026-07-01 12:32:22,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H009903,2026-07-01 12:39:45,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H006473,2026-07-01 12:39:50,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H006473,2026-07-01 12:41:47,login,登录办公终端,,T1078,,,,苏州市,,
H004950,2026-07-01 12:48:11,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H000527,2026-07-01 12:48:23,download,下载文档/更新包 17MB,,T1204.002,,,25666,,,
H001721,2026-07-01 12:51:43,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H000559,2026-07-01 12:54:26,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H009691,2026-07-01 12:56:30,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H000117,2026-07-01 12:57:54,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H006566,2026-07-01 13:01:29,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H009170,2026-07-01 13:06:37,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H006311,2026-07-01 13:19:50,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004394,2026-07-01 13:20:02,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H001721,2026-07-01 13:24:11,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H008164,2026-07-01 13:35:56,login,登录办公终端,,T1078,,,,,,
H001796,2026-07-01 13:37:13,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H001402,2026-07-01 13:43:51,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H004717,2026-07-01 13:47:24,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H009535,2026-07-01 13:51:25,login,登录办公终端,,T1078,,,,,,
H009979,2026-07-01 13:53:09,login,登录办公终端,,T1078,,,,,,
H003833,2026-07-01 13:53:27,login,登录办公终端,,T1078,,,,,,
H005614,2026-07-01 14:09:49,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009698,2026-07-01 14:10:54,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004146,2026-07-01 14:20:27,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H003533,2026-07-01 14:20:51,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006113,2026-07-01 14:22:53,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H006566,2026-07-01 14:31:42,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H003833,2026-07-01 14:38:08,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H009535,2026-07-01 14:38:37,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H008871,2026-07-01 14:42:39,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H009691,2026-07-01 14:46:19,login,登录办公终端,,T1078,,,,东莞市,,
H009691,2026-07-01 14:50:22,upload,上传附件 12MB,,T1567,,docs.company.cn,7808,,,
H001419,2026-07-01 14:52:50,dns_query,域名解析,,T1071.001,,jd.com,,,,
H009698,2026-07-01 14:59:45,dns_query,域名解析,,T1071.001,,docs.company.cn,,,,
H004394,2026-07-01 15:02:09,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H003752,2026-07-01 15:06:35,login,登录办公终端,,T1078,,,,,,
H006049,2026-07-01 15:20:19,login,登录办公终端,,T1078,,,,,,
H005988,2026-07-01 15:27:13,login,登录办公终端,,T1078,,,,,,
H003752,2026-07-01 15:29:45,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H000763,2026-07-01 15:30:48,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H000763,2026-07-01 15:31:57,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003910,2026-07-01 15:35:06,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H007983,2026-07-01 15:35:21,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H007500,2026-07-01 15:39:27,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003833,2026-07-01 15:41:28,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H000559,2026-07-01 15:42:54,upload,上传附件 4MB,,T1567,,docs.company.cn,3088,,,
H009982,2026-07-01 15:46:58,download,下载文档/更新包 42MB,,T1204.002,,,39745,,,
H001419,2026-07-01 15:56:06,login,登录办公终端,,T1078,,,,,,
H003785,2026-07-01 15:57:01,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H003533,2026-07-01 15:57:11,login,登录办公终端,,T1078,,,,武汉市,,
H003043,2026-07-01 15:58:55,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H009698,2026-07-01 15:59:38,email_open,阅读邮件（内部往来 4）,,,,wiki.company.cn,,,,
H003910,2026-07-01 15:59:43,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004763,2026-07-01 16:01:12,dns_query,域名解析,,T1071.001,,qq.com,,,,
H004564,2026-07-01 16:01:53,login,登录办公终端,,T1078,,,,,,
H005767,2026-07-01 16:08:24,login,登录办公终端,,T1078,,,,,,
H003752,2026-07-01 16:13:16,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H004763,2026-07-01 16:19:46,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H009903,2026-07-01 16:21:24,download,下载文档/更新包 13MB,,T1204.002,,,37531,,,
H006896,2026-07-01 16:23:50,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H003893,2026-07-01 16:26:54,login,登录办公终端,,T1078,,,,,,
H003833,2026-07-01 16:27:03,email_open,阅读邮件（内部往来 3）,,,,kb.company.cn,,,,
H009691,2026-07-01 16:28:15,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004717,2026-07-01 16:35:15,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H001269,2026-07-01 16:36:04,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H004080,2026-07-01 16:40:12,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H001269,2026-07-01 16:43:23,login,登录办公终端,,T1078,,,,,,
H007983,2026-07-01 16:44:52,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006473,2026-07-01 16:47:17,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004146,2026-07-01 16:49:01,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002907,2026-07-01 16:50:24,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004775,2026-07-01 16:52:21,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H009691,2026-07-01 16:53:11,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004775,2026-07-01 16:59:54,failed_login,密码错误自动重试,,T1110.001,,,,,,
H007500,2026-07-01 16:59:54,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009698,2026-07-01 17:02:18,login,登录办公终端,,T1078,,,,,,
H002479,2026-07-01 17:03:17,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003416,2026-07-01 17:06:07,sensitive_access,查询项目文档（本职工作）,,T1005,,,,,,
H004717,2026-07-01 17:07:25,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H000763,2026-07-01 17:07:32,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H000527,2026-07-01 17:08:54,login,登录办公终端,,T1078,,,,,,
H003785,2026-07-01 17:08:57,login,登录办公终端,,T1078,,,,苏州市,,
H004953,2026-07-01 17:13:10,login,登录办公终端,,T1078,,,,南京市,,
H001796,2026-07-01 17:13:54,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H003910,2026-07-01 17:14:45,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004394,2026-07-01 17:21:30,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H000117,2026-07-01 17:22:02,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000559,2026-07-01 17:22:06,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H003043,2026-07-01 17:25:40,download,下载文档/更新包 11MB,,T1204.002,,,36526,,,
H005220,2026-07-01 17:28:17,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H009535,2026-07-01 17:28:52,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H000527,2026-07-01 17:30:14,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H001402,2026-07-01 17:31:04,login,登录办公终端,,T1078,,,,,,
H000564,2026-07-01 17:31:39,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H003752,2026-07-01 17:33:06,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H007983,2026-07-01 17:36:03,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H003043,2026-07-01 17:36:08,login,登录办公终端,,T1078,,,,,,
H004956,2026-07-01 17:46:10,failed_login,密码错误自动重试,,T1110.001,,,,,,
H007500,2026-07-01 17:50:45,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H001721,2026-07-01 17:51:11,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H002223,2026-07-01 17:52:08,dns_query,域名解析,,T1071.001,,jd.com,,,,
H009691,2026-07-01 18:03:41,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004564,2026-07-01 18:03:51,dns_query,域名解析,,T1071.001,,baidu.com,,,,
H003043,2026-07-01 18:05:08,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H004950,2026-07-01 18:05:31,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006311,2026-07-01 18:07:11,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003785,2026-07-01 18:08:18,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H005988,2026-07-01 18:11:46,download,下载文档/更新包 30MB,,T1204.002,,,36230,,,
H004950,2026-07-01 18:13:07,login,登录办公终端,,T1078,,,,,,
H000117,2026-07-01 18:13:23,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H009698,2026-07-01 18:15:03,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004564,2026-07-01 18:16:10,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002223,2026-07-01 18:17:45,download,下载文档/更新包 4MB,,T1204.002,,,37136,,,
H000527,2026-07-01 18:17:58,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009170,2026-07-01 18:20:32,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H003416,2026-07-01 18:22:14,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006566,2026-07-01 18:35:37,login,登录办公终端,,T1078,,,,,,
H000438,2026-07-01 18:41:35,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H005614,2026-07-01 18:44:19,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H000564,2026-07-01 18:51:04,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H003785,2026-07-01 18:51:49,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H002907,2026-07-01 18:56:27,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H001402,2026-07-01 18:57:05,download,下载文档/更新包 19MB,,T1204.002,,,38214,,,
H000117,2026-07-01 18:59:46,download,下载文档/更新包 37MB,,T1204.002,,,44467,,,
H005220,2026-07-01 19:07:57,email_open,阅读邮件（内部往来 3）,,,,mail.company.cn,,,,
H008164,2026-07-01 19:12:15,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H006049,2026-07-01 19:14:14,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H003910,2026-07-01 19:29:13,login,登录办公终端,,T1078,,,,,,
H008871,2026-07-01 19:32:21,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H005220,2026-07-01 19:35:56,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001419,2026-07-01 19:36:18,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000117,2026-07-01 19:40:20,login,登录办公终端,,T1078,,,,,,
H002479,2026-07-01 19:41:30,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H006566,2026-07-01 19:43:26,email_open,阅读邮件（内部往来 3）,,,,oa.company.cn,,,,
H009535,2026-07-01 19:43:48,download,下载文档/更新包 1MB,,T1204.002,,,21234,,,
H008154,2026-07-01 19:46:32,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H000527,2026-07-01 19:48:27,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H004080,2026-07-01 19:49:17,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H006113,2026-07-01 19:52:15,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H009982,2026-07-01 19:56:12,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H007983,2026-07-01 19:56:58,login,登录办公终端,,T1078,,,,,,
H004953,2026-07-01 19:58:08,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005614,2026-07-01 20:10:23,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H006473,2026-07-01 20:24:34,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008871,2026-07-01 20:25:59,login,登录办公终端,,T1078,,,,南京市,,
H006113,2026-07-01 20:35:28,login,登录办公终端,,T1078,,,,武汉市,,
H000763,2026-07-01 20:39:05,download,下载文档/更新包 1MB,,T1204.002,,,17621,,,
H009903,2026-07-01 20:41:47,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H002479,2026-07-01 20:45:35,login,登录办公终端,,T1078,,,,天津市,,
H004724,2026-07-01 20:46:48,login,登录办公终端,,T1078,,,,,,
H007983,2026-07-01 20:49:36,download,下载文档/更新包 12MB,,T1204.002,,,28367,,,
H006896,2026-07-01 20:59:44,login,登录办公终端,,T1078,,,,,,
H008154,2026-07-01 21:07:42,login,登录办公终端,,T1078,,,,,,
H002907,2026-07-01 21:10:27,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H003785,2026-07-01 21:15:26,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H005988,2026-07-01 21:26:47,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H004775,2026-07-01 21:40:56,login,登录办公终端,,T1078,,,,,,
H003533,2026-07-01 21:50:42,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005767,2026-07-01 21:56:59,download,下载文档/更新包 3MB,,T1204.002,,,6548,,,
H004146,2026-07-01 22:03:31,login,登录办公终端,,T1078,,,,,,
H009698,2026-07-01 22:03:48,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H007030,2026-07-01 22:54:08,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002479,2026-07-01 23:23:14,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H009982,2026-07-02 00:16:49,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006566,2026-07-02 00:23:40,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H001668,2026-07-02 00:28:42,upload,上传附件 8MB,,T1567,,docs.company.cn,2237,,,
H006750,2026-07-02 03:55:37,login,登录办公终端,,T1078,,,,,,
H003043,2026-07-02 06:01:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003910,2026-07-02 06:15:19,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006566,2026-07-02 07:07:44,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H006738,2026-07-02 07:32:39,email_open,阅读邮件（内部往来 3）,,,,wiki.company.cn,,,,
H009535,2026-07-02 08:00:39,download,下载文档/更新包 2MB,,T1204.002,,,20347,,,
H001402,2026-07-02 08:02:43,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006049,2026-07-02 08:04:09,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H006113,2026-07-02 08:04:39,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H006738,2026-07-02 08:06:27,login,登录办公终端,,T1078,,,,,,
H006750,2026-07-02 08:08:01,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H004394,2026-07-02 08:08:11,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006747,2026-07-02 08:12:08,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004763,2026-07-02 08:14:00,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H001419,2026-07-02 08:21:12,login,登录办公终端,,T1078,,,,,,
H004564,2026-07-02 08:23:35,failed_login,密码错误自动重试,,T1110.001,,,,,,
H007458,2026-07-02 08:25:12,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H001986,2026-07-02 08:26:36,dns_query,域名解析,,T1071.001,,docs.company.cn,,,,
