host_id,dept,role_level,seniority_days,os,work_mode,work_city,is_service_account,active_days,login_count,night_login_count,offsite_login_count,abnormal_login_count,failed_login_count,failed_login_night,mail_count,sus_link_click,download_count,download_mb,large_download_count,upload_mb,sus_upload_count,c2_heartbeat_count,sensitive_access_count,mfa_denied_count,scan_enum_count,script_exec_count,privesc_events,persist_events,lateral_events,cleanup_events,vpn_offsite_count,sus_domain_count,chain_phases,chain_stage_count,variant,risk_label
H001796,市场部,2,223,macOS,office,北京市,0,21,20,2,0,0,10,1,26,0,9,189.6,0,29.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001819,行政部,2,2858,Ubuntu,office,北京市,0,15,13,0,0,0,16,1,24,0,6,126.8,0,0.0,0,1,0,0,0,0,0,1,0,0,2,1,,0,,normal
H001824,数据部,2,208,Ubuntu,office,北京市,0,12,11,0,0,0,7,0,17,0,3,85.3,0,193.1,3,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001986,行政部,0,2268,macOS,office,北京市,0,17,17,0,0,0,7,0,22,0,4,60.7,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H002223,人力部,0,68,Windows 11,remote,苏州市,0,17,17,2,17,0,5,0,20,0,6,180.0,0,24.7,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H002479,研发部,1,2498,Ubuntu,remote,天津市,0,20,18,5,18,0,9,1,21,0,4,76.5,0,157.8,3,0,0,0,0,0,1,0,0,0,0,0,,0,,normal
H002480,行政部,2,1224,Ubuntu,office,北京市,0,13,13,0,0,0,7,0,21,0,2,23.4,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H002540,行政部,0,1506,Windows 10,office,深圳市,0,12,10,0,0,0,8,2,15,0,3,50.6,0,6.3,0,0,0,0,1,0,1,0,0,0,0,0,,0,,normal
H002774,销售部,1,1064,Windows 11,office,深圳市,0,20,21,1,1,0,0,0,32,0,7,170.3,0,10.1,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H002844,法务部,1,2335,Ubuntu,remote,苏州市,0,18,17,0,17,0,9,2,17,0,2,52.0,0,19.5,0,0,0,0,0,0,1,0,0,0,0,0,,0,,normal
H002894,市场部,0,2989,Ubuntu,office,深圳市,0,12,11,0,0,0,6,0,24,0,2,44.6,0,12.3,0,0,0,0,0,0,0,0,0,0,2,0,,0,,normal
H002907,销售部,0,886,Windows 10,office,上海市,0,25,25,0,0,0,16,0,39,0,10,187.9,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H003043,市场部,1,1725,macOS,office,杭州市,0,25,25,4,0,0,24,0,47,0,10,260.8,0,10.5,0,0,1,0,0,0,0,1,1,1,0,0,,0,,normal
H003416,法务部,1,2964,macOS,office,上海市,0,18,18,0,0,0,10,0,32,0,4,99.4,0,16.1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H003533,研发部,0,808,Windows 11,remote,武汉市,1,16,16,1,16,0,7,1,14,0,3,91.1,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H003725,行政部,2,2463,Windows 10,office,北京市,0,17,17,1,0,0,12,0,32,0,7,208.0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H003752,销售部,1,2906,macOS,office,北京市,1,15,14,0,0,0,6,0,18,0,4,95.7,0,276.5,4,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H003785,数据部,1,175,Windows 10,remote,苏州市,0,13,13,2,13,0,5,2,14,1,2,50.1,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H003833,法务部,1,1461,Ubuntu,office,北京市,0,13,12,0,0,0,8,0,26,0,0,0.0,0,18.9,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H003893,销售部,1,1180,Ubuntu,office,深圳市,0,15,14,1,0,0,8,0,19,0,3,122.3,0,12.3,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H003910,行政部,0,2967,Windows 11,office,北京市,0,24,24,0,0,0,13,0,49,0,4,54.8,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H003923,财务部,2,1979,Windows 11,office,深圳市,0,19,19,0,0,0,8,0,25,0,6,132.8,0,1.6,0,0,0,0,0,0,0,1,1,0,0,0,,0,,normal
H003973,运营部,0,453,Windows 11,office,北京市,1,18,18,0,0,0,11,0,27,0,7,174.4,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H004058,客服部,0,1905,Windows 10,office,深圳市,0,21,21,2,0,0,18,3,37,0,7,173.4,0,14.9,0,0,0,1,0,0,0,0,0,0,0,0,,0,,normal
H004080,行政部,0,70,Ubuntu,office,北京市,0,22,22,1,0,0,9,1,32,0,7,120.4,0,34.0,0,0,0,1,0,0,0,1,0,0,0,0,,0,,normal
H004146,市场部,2,2463,Windows 10,office,上海市,0,11,11,1,0,0,10,0,16,0,3,83.8,0,218.0,4,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H004149,客服部,0,1411,macOS,office,上海市,0,12,10,1,0,0,12,0,24,0,3,58.2,0,15.2,0,0,0,0,0,0,0,0,1,0,2,0,,0,,normal
H004360,行政部,1,2750,macOS,remote,苏州市,0,15,14,0,14,0,11,0,14,1,3,87.3,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H004362,法务部,2,762,Windows 11,office,北京市,0,18,17,1,0,0,14,2,27,0,4,104.7,0,10.5,0,0,0,0,0,0,1,0,0,0,2,0,,0,,normal
H004394,行政部,1,2913,Windows 11,office,上海市,0,22,21,0,0,0,7,0,32,0,5,143.9,0,12.0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,normal
H004564,市场部,1,2529,Windows 11,office,上海市,0,20,20,1,0,0,11,0,27,1,7,93.9,0,23.4,0,0,0,2,0,0,0,1,0,0,0,0,deliver|exploit|persist,3,evasive,phishing
H004717,销售部,1,448,macOS,office,北京市,0,21,21,2,0,0,13,0,30,0,6,126.5,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H004724,人力部,2,1285,macOS,office,北京市,0,24,23,1,0,0,13,0,42,1,12,281.4,0,17.0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H004763,研发部,0,706,Ubuntu,office,上海市,0,24,24,0,0,0,11,0,34,0,4,80.5,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H004775,人力部,1,1199,Ubuntu,office,上海市,0,17,17,2,0,0,8,1,29,0,7,141.4,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H004816,人力部,1,2636,Windows 11,office,上海市,0,18,17,2,0,0,10,0,21,0,7,193.4,0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H004902,运营部,1,2748,Windows 10,office,深圳市,0,14,13,0,0,0,3,1,20,0,2,66.0,0,19.9,0,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H004950,法务部,1,1994,macOS,office,成都市,0,21,20,0,0,0,12,0,29,0,8,194.2,0,35.7,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H004953,客服部,3,1964,Ubuntu,remote,南京市,0,26,25,3,25,0,11,0,20,0,10,149.6,0,25.4,0,1,0,0,0,0,0,0,0,0,0,1,,0,,normal
H004956,销售部,0,1550,Windows 11,office,上海市,0,17,16,2,0,0,8,0,23,0,4,23.3,0,274.2,4,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H005151,数据部,0,1719,Windows 10,office,杭州市,0,12,12,0,0,0,3,0,20,0,2,56.2,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H005220,市场部,1,1092,Ubuntu,office,北京市,0,12,11,1,0,0,6,0,19,0,1,22.6,0,10.1,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H005496,法务部,1,1951,Windows 10,office,上海市,0,22,17,1,1,0,7,1,20,0,4,124.8,0,306.6,0,0,0,0,0,0,0,0,1,4,0,0,exfil|cover,2,,insider_collusion
H005600,研发部,1,1212,Windows 11,office,北京市,0,15,15,0,0,0,10,1,23,0,3,62.5,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H005614,行政部,3,923,Windows 11,remote,西安市,0,25,25,2,25,0,21,5,22,0,9,208.0,0,261.9,3,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H005767,研发部,2,2995,macOS,office,上海市,0,22,22,0,0,0,10,0,28,0,12,259.6,0,43.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H005988,法务部,1,1492,Ubuntu,office,成都市,0,21,21,1,0,0,9,0,29,0,7,235.9,0,23.8,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H006049,运营部,0,669,Ubuntu,office,深圳市,0,25,25,1,0,0,14,0,40,0,4,85.5,0,152.8,2,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H006113,人力部,0,2598,Ubuntu,remote,武汉市,0,26,25,1,25,0,26,3,32,0,10,186.6,0,26.8,0,0,0,0,0,0,0,1,0,1,0,0,,0,,normal
H006311,销售部,2,2078,Windows 11,office,成都市,0,25,25,0,0,0,24,6,41,0,7,207.0,0,30.6,0,0,0,0,0,0,0,0,0,1,0,0,,0,,normal
H006373,财务部,1,2871,Windows 10,remote,苏州市,0,19,18,4,18,0,16,1,12,0,6,139.6,0,16.6,0,0,0,0,0,0,0,0,0,1,0,0,,0,,normal
H006419,财务部,3,1907,Windows 11,remote,南京市,0,15,14,0,14,0,10,1,17,0,7,478.0,1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H006473,运营部,1,348,Windows 10,remote,苏州市,0,24,24,1,24,0,15,2,24,0,6,98.3,0,17.1,0,0,1,0,0,0,0,1,1,0,0,0,,0,,normal
H006566,市场部,0,1141,macOS,office,北京市,0,15,15,0,0,0,11,0,27,0,5,116.2,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,,0,,normal
H006718,销售部,1,2549,Windows 10,office,杭州市,0,20,20,2,0,0,13,1,32,0,1,40.6,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H006738,人力部,2,529,Ubuntu,office,上海市,0,24,24,0,0,0,11,2,43,0,8,180.2,0,27.1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H006747,行政部,1,2525,Windows 11,office,北京市,0,11,10,2,0,0,6,3,16,0,3,64.2,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H006750,人力部,0,2230,macOS,office,深圳市,0,12,11,1,0,0,7,0,21,0,5,89.8,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,,0,,normal
H006896,行政部,0,263,Windows 10,office,上海市,0,14,13,0,1,1,16,0,14,0,5,121.8,0,0.0,0,0,0,1,1,0,1,1,2,1,0,0,recon|initial|privesc|persist|lateral|cover,6,obvious,brute_force
H007030,法务部,1,2421,Windows 10,remote,西安市,0,18,18,0,18,0,15,1,24,0,6,120.2,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H007129,法务部,1,1072,Windows 11,office,上海市,0,13,12,0,0,0,5,0,15,0,3,60.7,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,,0,,normal
H007458,市场部,1,887,Windows 11,office,上海市,0,21,21,1,0,0,17,5,41,0,6,130.4,0,33.6,0,0,0,1,0,0,0,0,0,1,0,0,,0,,normal
H007500,运营部,0,1819,Windows 11,office,北京市,0,19,19,0,0,0,7,0,29,0,3,55.2,0,170.1,3,0,0,0,1,0,0,0,0,0,0,0,,0,,normal
H007512,运营部,3,103,macOS,office,成都市,0,18,17,2,0,0,9,0,31,0,7,187.6,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H007983,市场部,3,1582,macOS,office,北京市,0,13,11,0,0,0,7,0,20,0,4,73.8,0,3.9,0,0,0,0,0,0,0,0,1,0,2,0,,0,,normal
H008057,客服部,3,2516,Ubuntu,office,深圳市,1,15,14,1,0,0,9,0,23,0,3,61.2,0,18.3,0,0,0,0,0,0,1,0,0,0,0,0,,0,,normal
H008154,客服部,1,548,Ubuntu,office,北京市,0,19,19,1,0,0,8,0,33,0,3,49.2,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H008164,行政部,1,1330,macOS,office,上海市,0,22,22,1,0,0,16,0,34,0,10,227.0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H008214,财务部,1,1249,macOS,remote,东莞市,0,16,15,3,15,0,6,1,14,0,7,120.0,0,6.4,0,0,1,0,0,0,0,0,1,0,0,0,,0,,normal
H008871,人力部,1,2421,macOS,remote,南京市,0,15,15,1,15,0,11,1,10,0,4,106.6,0,28.2,0,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H008931,市场部,1,2255,macOS,office,北京市,0,22,18,0,0,0,9,0,35,0,6,136.2,0,160.3,3,6,0,0,0,1,1,2,0,0,0,1,deliver|exploit|persist|exfil,4,evasive,malware
H008981,客服部,0,2614,Ubuntu,office,北京市,0,18,16,1,0,0,7,2,32,0,8,199.8,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,normal
H009170,运营部,2,2554,macOS,office,北京市,0,28,26,0,1,0,7,0,48,0,4,121.9,0,114.9,0,0,1,0,0,0,1,0,0,0,3,0,recon|exfil,2,evasive,exfil
H009500,销售部,1,1540,Ubuntu,office,上海市,0,14,14,1,0,0,10,0,23,0,4,101.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H009535,客服部,0,1102,Windows 11,office,上海市,0,22,22,0,0,0,18,0,31,0,8,140.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H009691,行政部,1,347,Ubuntu,remote,东莞市,0,16,16,4,16,0,9,0,19,0,2,35.6,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H009698,人力部,2,601,Windows 10,office,上海市,0,19,19,0,0,0,10,0,27,0,6,169.1,0,1.1,0,0,1,0,1,0,0,0,0,0,0,0,,0,,normal
H009816,研发部,2,89,Windows 10,remote,东莞市,0,12,12,0,12,0,8,0,15,0,3,103.4,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H009903,销售部,1,1505,macOS,remote,天津市,0,20,20,1,20,0,14,1,23,0,9,226.3,0,10.5,0,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H009979,研发部,0,765,Windows 11,office,上海市,0,22,22,1,0,0,17,0,36,0,5,144.8,0,20.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H009982,法务部,1,1100,Windows 11,remote,东莞市,0,12,11,1,11,0,9,3,12,0,5,75.4,0,4.9,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
