policyholder_id,age,gender,city,occupation,policy_type,premium,coverage,issue_year,report_count,night_report_count,submit_count,visit_count,claim_pay_count,claim_pay_amount,reject_count,complaint_count,survey_count,policy_change_count,int_amount_count,invoice_verify_fail_count,multi_insurer_count,submit_without_visit,provider_count,first_claim_after_issue_days,fraud_phase_chain,fraud_phase_count,variant,risk_label
P015905,47,M,重庆市,销售,健康险,5097,735143,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P016289,28,M,南京市,退休,意外险,943,626589,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P017202,20,M,上海市,医护,车险,3020,963268,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P017874,59,M,武汉市,自由职业,家财险,1452,271208,2025,1,0,1,0,1,2234.0,0,0,0,0,0,0,0,1,0,604,,0,,normal
P018259,31,M,上海市,销售,车险,6340,669681,2025,2,0,2,2,2,12903.0,0,0,1,0,0,0,0,0,3,242,,0,,normal
P019677,59,F,重庆市,退休,车险,6438,799040,2025,1,0,1,1,1,2359.0,0,0,0,0,0,0,0,0,1,141,,0,,normal
P021740,32,F,深圳市,自由职业,健康险,1043,243733,2025,4,1,4,3,3,53837.0,0,0,0,0,0,0,0,1,3,168,,0,,normal
P021741,38,M,重庆市,医护,车险,4903,426901,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P022487,50,F,苏州市,个体经营,寿险,4176,1660299,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P022744,44,M,深圳市,司机,车险,4922,1096158,2026,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P022969,20,F,天津市,教师,健康险,898,168263,2026,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,-1,,0,,normal
P023482,34,M,杭州市,司机,寿险,11296,955017,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P025015,26,F,南京市,退休,车险,4225,1147738,2025,4,0,4,4,4,43797.0,0,0,0,0,0,0,5,0,1,85,cashout|collude|inflate|stage,4,,organized_fraud
P025390,43,F,苏州市,医护,健康险,2972,316555,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P028236,21,M,重庆市,医护,家财险,2132,235796,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P028550,28,M,深圳市,医护,车险,6617,687993,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P030059,60,F,上海市,退休,健康险,1577,688962,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P031135,37,M,重庆市,自由职业,寿险,15050,1844421,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P033995,44,F,苏州市,工人,寿险,5784,985311,2025,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P034190,36,M,成都市,教师,寿险,12375,485902,2024,1,0,1,0,1,5583.0,0,0,0,1,0,0,0,1,0,393,,0,,normal
P035176,29,M,杭州市,销售,意外险,583,352551,2024,1,0,1,1,1,6739.0,0,0,0,1,0,0,0,0,1,136,,0,,normal
P035679,32,M,南京市,无业,意外险,315,736210,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P037393,45,M,苏州市,个体经营,车险,8667,1409053,2024,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P037607,58,F,深圳市,销售,车险,8405,309630,2024,2,0,2,2,2,8139.0,0,0,0,0,0,0,0,0,2,20,cashout|inflate|stage,3,evasive,staged_accident
P037633,44,M,天津市,医护,健康险,4887,671025,2025,1,0,1,1,1,1885.0,0,0,1,0,0,0,0,0,2,272,,0,,normal
P037886,57,M,上海市,白领,健康险,1836,404339,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P041695,59,M,上海市,个体经营,车险,4206,761704,2026,2,0,2,2,2,8480.0,0,0,1,0,0,0,0,0,2,154,,0,,normal
P042401,60,M,成都市,无业,家财险,635,241879,2025,1,0,1,0,1,3844.0,0,0,1,0,0,0,0,1,1,208,,0,,normal
P043699,23,M,重庆市,无业,车险,8083,602448,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P044306,52,F,武汉市,司机,意外险,737,667859,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P046067,51,M,南京市,医护,车险,5597,1137169,2026,1,0,1,1,1,14106.0,0,0,0,0,0,0,0,0,1,-1,,0,,normal
P048335,41,F,上海市,教师,健康险,5639,262309,2024,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P051452,45,M,成都市,教师,健康险,2507,528847,2025,1,0,1,0,0,0.0,0,0,0,1,0,0,0,1,0,320,,0,,normal
P051586,28,M,天津市,退休,家财险,982,249264,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P053080,55,M,上海市,医护,车险,6350,495165,2025,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P053150,42,M,深圳市,自由职业,车险,3241,656486,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P054252,55,F,南京市,自由职业,车险,6815,898413,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P054702,49,F,天津市,自由职业,意外险,644,519252,2025,1,0,1,1,1,4334.0,0,0,0,0,0,0,0,0,1,21,,0,,normal
P056730,34,F,深圳市,工人,健康险,845,475353,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P059993,43,M,上海市,教师,寿险,17397,1894995,2025,1,0,1,1,1,17674.0,0,0,0,0,0,1,0,0,1,606,cashout|collude|inflate,3,obvious,exaggeration
P060036,43,M,南京市,无业,车险,4578,965687,2024,2,0,2,2,2,12433.0,0,0,1,0,0,0,0,0,3,452,,0,,normal
P060173,25,M,南京市,工人,健康险,3454,511460,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P061832,31,F,北京市,退休,健康险,3517,512040,2025,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P062311,26,M,深圳市,白领,寿险,9726,1179433,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P064202,39,F,北京市,无业,健康险,4770,346948,2024,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P064528,47,M,苏州市,个体经营,车险,8790,1340764,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P066552,33,F,深圳市,工人,健康险,5841,368659,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P067591,53,M,天津市,医护,家财险,1915,107829,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P069083,40,F,上海市,医护,健康险,2993,521413,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P069461,35,M,苏州市,医护,车险,8792,1100046,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P070164,33,M,苏州市,无业,健康险,5794,775249,2026,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P071180,60,M,苏州市,司机,家财险,1309,262855,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P072198,27,M,苏州市,销售,车险,6745,1424914,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P072201,24,F,上海市,自由职业,健康险,2894,712423,2025,1,0,1,1,1,1100.0,0,0,0,0,0,0,0,0,1,342,,0,,normal
P072458,43,F,成都市,教师,意外险,455,919243,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P073605,48,M,北京市,医护,健康险,1973,423630,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P075042,27,M,上海市,销售,家财险,847,484208,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P075245,23,M,杭州市,退休,寿险,17574,1615188,2025,1,0,1,0,0,0.0,1,0,0,0,0,0,0,1,0,465,,0,,normal
P075421,62,F,上海市,医护,健康险,2010,553386,2026,1,0,1,1,1,16286.0,0,0,1,0,0,0,0,0,2,-1,,0,,normal
P075764,28,M,杭州市,退休,健康险,2170,487408,2026,2,0,2,1,1,12073.0,1,0,0,0,0,0,0,1,1,35,,0,,normal
P076364,34,F,天津市,司机,车险,5869,1039436,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P076694,23,M,北京市,无业,健康险,957,199523,2025,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P076707,58,M,杭州市,教师,健康险,2159,491070,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P078203,34,F,重庆市,无业,健康险,1959,387993,2025,1,0,1,1,1,8066.0,0,0,1,0,0,0,0,0,2,193,,0,,normal
P078678,25,F,重庆市,无业,家财险,2017,401307,2025,3,0,3,0,3,39814.0,0,0,0,0,0,0,0,3,0,136,,0,,normal
P080697,58,F,南京市,白领,家财险,2393,256962,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P084766,20,M,成都市,销售,车险,2535,791926,2025,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P084839,51,F,成都市,自由职业,寿险,18607,1602061,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P085206,50,M,北京市,个体经营,车险,4402,642698,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P086297,37,F,北京市,工人,健康险,4049,420103,2025,1,0,1,1,1,4846.0,0,0,1,0,0,0,0,0,2,303,,0,,normal
P086628,40,M,上海市,退休,健康险,1655,155798,2025,1,1,1,1,1,10051.0,0,0,0,0,0,0,0,0,1,92,,0,,normal
P088980,50,M,上海市,工人,寿险,14467,665507,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P089294,28,F,南京市,销售,车险,8118,1115954,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P090938,47,M,苏州市,教师,健康险,1000,409383,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P091229,29,F,重庆市,教师,车险,6686,334923,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P092502,44,M,南京市,教师,车险,6288,1495393,2025,2,0,2,1,1,16218.0,0,0,0,0,0,0,0,1,1,126,,0,,normal
P093907,60,M,重庆市,无业,意外险,1004,603098,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P094746,60,F,杭州市,个体经营,健康险,5419,148301,2024,2,0,2,0,2,2478.0,0,0,0,0,0,0,0,2,0,115,cashout|inflate|premeditate|stage,4,evasive,policy_abuse
P095604,33,M,苏州市,教师,家财险,978,108097,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P096829,42,F,成都市,司机,车险,6305,580133,2026,3,0,3,2,2,13100.0,0,0,0,0,0,0,0,1,2,21,,0,,normal
P096859,33,M,苏州市,自由职业,寿险,14125,1337986,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P097036,31,M,深圳市,个体经营,车险,5505,655260,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P098201,34,M,上海市,销售,健康险,4757,792474,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
