policyholder_id,event_time,event_type,action,fraud_phase,variant,amount,provider,multi_insurer
P076707,2025-01-18 14:24:50,premium_pay,缴纳保费 2159 元,,,2159,,
P048335,2025-01-18 16:15:01,premium_pay,缴纳保费 5639 元,,,5639,,
P064202,2025-01-19 00:38:57,premium_pay,缴纳保费 4770 元,,,4770,,
P084839,2025-01-19 17:44:14,register,提交投保申请,,,,,
P064202,2025-01-20 00:38:57,policy_issue,保单签发（健康险，保额 346948 元）,,,,,
P095604,2025-01-20 10:27:47,policy_issue,保单签发（家财险，保额 108097 元）,,,,,
P000080,2025-01-20 14:26:17,register,提交投保申请,,,,,
P025390,2025-01-21 03:15:22,register,提交投保申请,,,,,
P000080,2025-01-21 14:26:17,premium_pay,缴纳保费 3323 元,,,3323,,
P037607,2025-01-21 16:50:35,register,提交投保申请,,,,,
P001619,2025-01-22 11:26:05,policy_issue,保单签发（寿险，保额 467670 元）,,,,,
P094746,2025-01-22 17:40:31,register,提交投保申请,,,,,
P037607,2025-01-23 16:50:35,premium_pay,缴纳保费 8405 元,,,8405,,
P012907,2025-01-23 17:20:21,register,提交投保申请,,,,,
P084839,2025-01-23 17:44:14,premium_pay,缴纳保费 18607 元,,,18607,,
P060036,2025-01-23 20:47:16,policy_issue,保单签发（车险，保额 965687 元）,,,,,
P012149,2025-01-24 06:45:11,policy_issue,保单签发（寿险，保额 1042884 元）,,,,,
P006657,2025-01-24 08:51:25,claim_submit,提交理赔材料,,,,,
P098201,2025-01-24 12:43:36,premium_pay,缴纳保费 4757 元,,,4757,,
P008197,2025-01-25 00:39:01,register,提交投保申请,,,,,
P085206,2025-01-25 12:57:01,register,提交投保申请,,,,,
P008197,2025-01-26 00:39:01,premium_pay,缴纳保费 2791 元,,,2791,,
P035176,2025-01-26 07:55:05,policy_issue,保单签发（意外险，保额 352551 元）,,,,,
P067591,2025-01-26 10:10:42,register,提交投保申请,,,,,
P006657,2025-01-26 14:41:13,register,提交投保申请,,,,,
P066552,2025-01-26 16:56:43,register,提交投保申请,,,,,
P093907,2025-01-26 18:09:11,register,提交投保申请,,,,,
P043699,2025-01-27 02:11:56,register,提交投保申请,,,,,
P012149,2025-01-27 06:45:11,premium_pay,缴纳保费 9107 元,,,9107,,
P085206,2025-01-27 12:57:01,policy_issue,保单签发（车险，保额 642698 元）,,,,,
P066552,2025-01-27 16:56:43,premium_pay,缴纳保费 5841 元,,,5841,,
P011643,2025-01-27 17:36:57,premium_pay,缴纳保费 2789 元,,,2789,,
P025390,2025-01-28 03:15:22,policy_issue,保单签发（健康险，保额 316555 元）,,,,,
P021741,2025-01-28 13:32:50,register,提交投保申请,,,,,
P006657,2025-01-28 14:41:13,policy_issue,保单签发（健康险，保额 716606 元）,,,,,
P094746,2025-01-28 17:40:31,premium_pay,缴纳保费 5419 元,,,5419,,
P025390,2025-01-29 03:15:22,premium_pay,缴纳保费 2972 元,,,2972,,
P098201,2025-01-29 12:43:36,policy_issue,保单签发（健康险，保额 792474 元）,,,,,
P076707,2025-01-29 14:24:50,policy_issue,保单签发（健康险，保额 491070 元）,,,,,
P085206,2025-01-30 12:57:01,premium_pay,缴纳保费 4402 元,,,4402,,
P067591,2025-01-31 10:10:42,policy_issue,保单签发（家财险，保额 107829 元）,,,,,
P011643,2025-01-31 17:36:57,policy_issue,保单签发（车险，保额 473267 元）,,,,,
P084839,2025-01-31 17:44:14,policy_issue,保单签发（寿险，保额 1602061 元）,,,,,
P093907,2025-01-31 18:09:11,premium_pay,缴纳保费 1004 元,,,1004,,
P043699,2025-02-01 02:11:56,premium_pay,缴纳保费 8083 元,,,8083,,
P066552,2025-02-01 16:56:43,policy_issue,保单签发（健康险，保额 368659 元）,,,,,
P000080,2025-02-02 14:26:17,policy_issue,保单签发（车险，保额 707094 元）,,,,,
P088980,2025-02-02 15:48:25,register,提交投保申请,,,,,
P012907,2025-02-02 17:20:21,premium_pay,缴纳保费 805 元,,,805,,
P094746,2025-02-02 17:40:31,policy_issue,保单签发（健康险，保额 148301 元）,,,,,
P008197,2025-02-03 00:39:01,policy_issue,保单签发（健康险，保额 538726 元）,,,,,
P006657,2025-02-03 08:51:25,claim_pay,赔付 4124 元,,,4124,,
P067591,2025-02-03 10:10:42,premium_pay,缴纳保费 1915 元,,,1915,,
P021741,2025-02-03 13:32:50,premium_pay,缴纳保费 4903 元,,,4903,,
P037607,2025-02-03 16:50:35,policy_issue,保单签发（车险，保额 309630 元）,,,,,
P037607,2025-02-04 11:09:44,register,投保申请（车险）,,,,,
P006657,2025-02-05 14:41:13,premium_pay,缴纳保费 1390 元,,,1390,,
P037607,2025-02-06 11:09:44,premium_pay,缴纳保费,,,8405,,
P043699,2025-02-07 02:11:56,policy_issue,保单签发（车险，保额 602448 元）,,,,,
P037607,2025-02-07 11:09:44,policy_issue,保单签发,,,,,
P012907,2025-02-07 17:20:21,policy_issue,保单签发（家财险，保额 139194 元）,,,,,
P088980,2025-02-09 15:48:25,premium_pay,缴纳保费 14467 元,,,14467,,
P088980,2025-02-09 15:48:25,policy_issue,保单签发（寿险，保额 665507 元）,,,,,
P093907,2025-02-09 18:09:11,policy_issue,保单签发（意外险，保额 603098 元）,,,,,
P004162,2025-02-10 10:38:58,policy_change,变更联系地址,,,,,
P021741,2025-02-11 13:32:50,policy_issue,保单签发（车险，保额 426901 元）,,,,,
P025015,2025-02-13 00:53:02,register,提交投保申请,,,,,
P046067,2025-02-13 14:38:35,claim_report,出险报案,,,,,
P017874,2025-02-14 07:09:18,register,提交投保申请,,,,,
P046067,2025-02-15 14:38:35,repair_visit,车辆维修,,,,通达维修站,
P015905,2025-02-15 16:54:28,register,提交投保申请,,,,,
P025015,2025-02-17 00:53:02,premium_pay,缴纳保费 4225 元,,,4225,,
P015905,2025-02-17 16:54:28,premium_pay,缴纳保费 5097 元,,,5097,,
P090938,2025-02-18 11:52:40,register,提交投保申请,,,,,
P090938,2025-02-19 11:52:40,premium_pay,缴纳保费 1000 元,,,1000,,
P025015,2025-02-20 00:53:02,policy_issue,保单签发（车险，保额 1147738 元）,,,,,
P046067,2025-02-21 14:38:35,claim_submit,提交理赔材料,,,,,
P017874,2025-02-22 07:09:18,policy_issue,保单签发（家财险，保额 271208 元）,,,,,
P017874,2025-02-24 07:09:18,premium_pay,缴纳保费 1452 元,,,1452,,
P046067,2025-02-24 14:38:35,claim_pay,赔付 14106 元,,,14106,,
P037607,2025-02-24 14:58:44,claim_report,出险报案（建设路口变道刮碰，对方全责）·第1次,stage,evasive,,,
P015905,2025-02-26 16:54:28,policy_issue,保单签发（健康险，保额 735143 元）,,,,,
P021740,2025-02-27 10:25:03,claim_report,出险报案,,,,,
P037607,2025-02-27 14:58:44,repair_visit,车辆定损维修（小额快赔）,stage,evasive,,瑞丰汽修,
P054252,2025-02-28 08:33:35,register,提交投保申请,,,,,
P021740,2025-03-02 10:25:03,medical_visit,就诊检查,,,,仁心堂,
P090938,2025-03-03 11:52:40,policy_issue,保单签发（健康险，保额 409383 元）,,,,,
P037607,2025-03-04 14:58:44,claim_submit,提交理赔：车衣损失 4777 元（虚报高价车衣）,inflate,evasive,4777,,
P054252,2025-03-08 08:33:35,premium_pay,缴纳保费 6815 元,,,6815,,
P037607,2025-03-08 14:58:44,claim_pay,快赔赔付 4777 元,cashout,evasive,4777,,
P054252,2025-03-11 08:33:35,policy_issue,保单签发（车险，保额 898413 元）,,,,,
P021740,2025-03-11 10:25:03,claim_submit,提交理赔材料,,,,,
P021740,2025-03-16 10:25:03,claim_pay,赔付 18990 元,,,18990,,
P042401,2025-03-19 12:00:53,register,提交投保申请,,,,,
P042401,2025-03-21 12:00:53,policy_issue,保单签发（家财险，保额 241879 元）,,,,,
P056730,2025-03-21 20:19:32,register,提交投保申请,,,,,
P072458,2025-03-22 13:39:41,register,提交投保申请,,,,,
P011643,2025-03-22 16:38:27,register,投保申请（健康险/意外险）,,,,,
P042401,2025-03-23 12:00:53,premium_pay,缴纳保费 635 元,,,635,,
P011643,2025-03-24 16:38:27,premium_pay,缴纳保费,,,2789,,
P056730,2025-03-24 20:19:32,policy_issue,保单签发（健康险，保额 475353 元）,,,,,
P037886,2025-03-25 13:37:01,register,提交投保申请,,,,,
P011643,2025-03-25 16:38:27,policy_issue,保单签发,,,,,
P056730,2025-03-29 20:19:32,premium_pay,缴纳保费 845 元,,,845,,
P072458,2025-03-31 13:39:41,premium_pay,缴纳保费 455 元,,,455,,
P072458,2025-04-01 13:39:41,policy_issue,保单签发（意外险，保额 919243 元）,,,,,
P037886,2025-04-02 13:37:01,premium_pay,缴纳保费 1836 元,,,1836,,
P028236,2025-04-09 10:29:16,register,提交投保申请,,,,,
P037886,2025-04-09 13:37:01,policy_issue,保单签发（健康险，保额 404339 元）,,,,,
P028236,2025-04-12 10:29:16,premium_pay,缴纳保费 2132 元,,,2132,,
P028236,2025-04-13 10:29:16,policy_issue,保单签发（家财险，保额 235796 元）,,,,,
P019677,2025-04-13 13:09:18,register,提交投保申请,,,,,
P019677,2025-04-18 13:09:18,policy_issue,保单签发（车险，保额 799040 元）,,,,,
P019677,2025-04-19 13:09:18,premium_pay,缴纳保费 6438 元,,,6438,,
P021740,2025-05-10 09:24:15,register,提交投保申请,,,,,
P021740,2025-05-13 09:24:15,premium_pay,缴纳保费 1043 元,,,1043,,
P004162,2025-05-14 03:36:01,register,投保申请（意外险）,,,,,
P004162,2025-05-16 03:36:01,premium_pay,缴纳保费,,,3117,,
P025015,2025-05-16 19:33:38,claim_report,出险报案（同组相近时间）,stage,evasive,,,1
P004162,2025-05-17 03:36:01,policy_issue,保单签发,,,,,
P021740,2025-05-17 09:24:15,policy_issue,保单签发（健康险，保额 243733 元）,,,,,
P094746,2025-05-20 07:34:48,register,投保申请（意外险/健康险）,premeditate,evasive,,,
P025015,2025-05-20 19:33:38,medical_visit,就诊治疗,collude,evasive,,仁心堂,
P094746,2025-05-22 07:34:48,premium_pay,缴纳保费,,,5419,,
P094746,2025-05-23 07:34:48,policy_issue,保单签发,,,,,
P094746,2025-05-29 07:34:48,claim_report,出险报案（第 1 次小额）,stage,evasive,,,
P025015,2025-05-30 19:33:38,claim_submit,提交理赔 10487 元（异地申报）,inflate,evasive,10487,,1
P018259,2025-06-01 09:31:10,register,提交投保申请,,,,,
P025015,2025-06-02 19:33:38,claim_pay,赔付 10487 元,cashout,evasive,10487,,
P094746,2025-06-03 07:34:48,claim_submit,提交理赔 826 元,inflate,evasive,826,,
P037607,2025-06-03 09:50:44,claim_report,出险报案（建设路口变道刮碰，对方全责）·第2次,stage,evasive,,,
P037607,2025-06-04 09:50:44,repair_visit,车辆定损维修（小额快赔）,stage,evasive,,通达维修站,
P094746,2025-06-07 07:34:48,claim_pay,赔付 826 元,cashout,evasive,826,,
P069083,2025-06-07 13:52:52,register,提交投保申请,,,,,
P018259,2025-06-08 09:31:10,premium_pay,缴纳保费 6340 元,,,6340,,
P069461,2025-06-08 14:00:20,register,提交投保申请,,,,,
P037607,2025-06-09 09:50:44,claim_submit,提交理赔：车衣损失 3362 元（虚报高价车衣）,inflate,evasive,3362,,
P069083,2025-06-09 13:52:52,premium_pay,缴纳保费 2993 元,,,2993,,
P037607,2025-06-11 09:50:44,claim_pay,快赔赔付 3362 元,cashout,evasive,3362,,
P035176,2025-06-11 12:43:59,claim_report,出险报案,,,,,
P035176,2025-06-11 12:43:59,medical_visit,就诊检查,,,,康泰医院,
P030059,2025-06-12 18:29:06,register,提交投保申请,,,,,
P018259,2025-06-13 09:31:10,policy_issue,保单签发（车险，保额 669681 元）,,,,,
P061832,2025-06-14 11:23:35,policy_change,变更受益人,,,,,
P069083,2025-06-16 13:52:52,policy_issue,保单签发（健康险，保额 521413 元）,,,,,
P069461,2025-06-16 14:00:20,policy_issue,保单签发（车险，保额 1100046 元）,,,,,
P030059,2025-06-16 18:29:06,policy_issue,保单签发（健康险，保额 688962 元）,,,,,
P069461,2025-06-17 14:00:20,premium_pay,缴纳保费 8792 元,,,8792,,
P030059,2025-06-21 18:29:06,premium_pay,缴纳保费 1577 元,,,1577,,
P051452,2025-06-23 07:00:21,register,提交投保申请,,,,,
P051452,2025-06-26 07:00:21,policy_issue,保单签发（健康险，保额 528847 元）,,,,,
P051452,2025-06-27 07:00:21,premium_pay,缴纳保费 2507 元,,,2507,,
P035176,2025-06-28 12:43:59,claim_submit,提交理赔材料,,,,,
P035176,2025-07-04 12:43:59,claim_pay,赔付 6739 元,,,6739,,
P059993,2025-07-09 08:40:13,register,提交投保申请,,,,,
P078203,2025-07-09 10:32:17,register,提交投保申请,,,,,
P059993,2025-07-11 08:40:13,premium_pay,缴纳保费 17397 元,,,17397,,
P034190,2025-07-11 09:39:12,policy_change,变更联系地址,,,,,
P008990,2025-07-13 09:30:13,register,提交投保申请,,,,,
P008990,2025-07-15 09:30:13,premium_pay,缴纳保费 5920 元,,,5920,,
P078203,2025-07-18 10:32:17,premium_pay,缴纳保费 1959 元,,,1959,,
P059993,2025-07-19 08:40:13,policy_issue,保单签发（寿险，保额 1894995 元）,,,,,
P078203,2025-07-23 10:32:17,policy_issue,保单签发（健康险，保额 387993 元）,,,,,
P008990,2025-07-28 09:30:13,policy_issue,保单签发（车险，保额 813394 元）,,,,,
P022487,2025-08-04 07:20:31,register,提交投保申请,,,,,
P094746,2025-08-04 07:34:48,claim_report,出险报案（第 2 次小额）,stage,evasive,,,
P022487,2025-08-08 07:20:31,premium_pay,缴纳保费 4176 元,,,4176,,
P022487,2025-08-10 07:20:31,policy_issue,保单签发（寿险，保额 1660299 元）,,,,,
P094746,2025-08-13 07:34:48,claim_submit,提交理赔 1652 元,inflate,evasive,1652,,
P094746,2025-08-16 07:34:48,claim_pay,赔付 1652 元,cashout,evasive,1652,,
P017202,2025-08-19 11:30:40,register,提交投保申请,,,,,
P017202,2025-08-21 11:30:40,premium_pay,缴纳保费 3020 元,,,3020,,
P017202,2025-08-22 11:30:40,policy_issue,保单签发（车险，保额 963268 元）,,,,,
P053080,2025-08-24 09:20:19,register,提交投保申请,,,,,
P053080,2025-08-27 09:20:19,policy_issue,保单签发（车险，保额 495165 元）,,,,,
P053080,2025-09-02 09:20:19,premium_pay,缴纳保费 6350 元,,,6350,,
P076694,2025-09-02 18:01:15,register,提交投保申请,,,,,
P019677,2025-09-07 07:53:29,claim_report,出险报案,,,,,
P019677,2025-09-09 07:53:29,repair_visit,车辆维修,,,,通达维修站,
P076694,2025-09-10 18:01:15,premium_pay,缴纳保费 957 元,,,957,,
P076694,2025-09-13 18:01:15,policy_issue,保单签发（健康险，保额 199523 元）,,,,,
P086297,2025-09-14 14:13:47,register,提交投保申请,,,,,
P086297,2025-09-17 14:13:47,policy_issue,保单签发（健康险，保额 420103 元）,,,,,
P019677,2025-09-18 07:53:29,claim_pay,赔付 2359 元,,,2359,,
P086297,2025-09-20 14:13:47,premium_pay,缴纳保费 4049 元,,,4049,,
P019677,2025-09-21 07:53:29,claim_submit,提交理赔材料,,,,,
P015581,2025-09-21 17:21:13,register,提交投保申请,,,,,
P023482,2025-09-22 01:45:41,register,提交投保申请,,,,,
P023482,2025-09-24 01:45:41,policy_issue,保单签发（寿险，保额 955017 元）,,,,,
P015581,2025-09-24 17:21:13,premium_pay,缴纳保费 2041 元,,,2041,,
P023482,2025-09-29 01:45:41,premium_pay,缴纳保费 11296 元,,,11296,,
P011643,2025-10-01 11:31:23,claim_report,出险报案,,,,,
P011643,2025-10-01 11:31:23,repair_visit,车辆维修,,,,瑞丰汽修,
P092502,2025-10-02 11:13:25,register,提交投保申请,,,,,
P015581,2025-10-02 17:21:13,policy_issue,保单签发（家财险，保额 461349 元）,,,,,
P086628,2025-10-03 10:30:40,register,提交投保申请,,,,,
P075421,2025-10-04 08:28:04,claim_report,出险报案,,,,,
P075421,2025-10-04 08:28:04,medical_visit,就诊检查,,,,仁和医院,
P011643,2025-10-04 11:31:23,claim_submit,提交理赔材料,,,,,
P092502,2025-10-07 11:13:25,policy_issue,保单签发（车险，保额 1495393 元）,,,,,
P084766,2025-10-08 09:27:53,register,提交投保申请,,,,,
P092502,2025-10-08 11:13:25,premium_pay,缴纳保费 6288 元,,,6288,,
P089294,2025-10-10 16:05:09,register,提交投保申请,,,,,
P084766,2025-10-11 09:27:53,policy_issue,保单签发（车险，保额 791926 元）,,,,,
P011643,2025-10-11 11:31:23,survey,现场查勘,,,,公估员-张,
P089294,2025-10-11 16:05:09,premium_pay,缴纳保费 8118 元,,,8118,,
P075421,2025-10-12 08:28:04,survey,现场查勘,,,,公估员-王,
P086628,2025-10-12 10:30:40,premium_pay,缴纳保费 1655 元,,,1655,,
P086628,2025-10-12 10:30:40,policy_issue,保单签发（健康险，保额 155798 元）,,,,,
P037633,2025-10-12 18:48:11,claim_report,出险报案,,,,,
P078678,2025-10-13 13:06:21,register,提交投保申请,,,,,
P084766,2025-10-14 09:27:53,premium_pay,缴纳保费 2535 元,,,2535,,
P042401,2025-10-15 16:42:47,claim_report,出险报案,,,,,
P037633,2025-10-15 18:48:11,medical_visit,就诊检查,,,,康泰医院,
P015117,2025-10-16 11:43:08,register,提交投保申请,,,,,
P078678,2025-10-17 13:06:21,premium_pay,缴纳保费 2017 元,,,2017,,
P078678,2025-10-17 13:06:21,policy_issue,保单签发（家财险，保额 401307 元）,,,,,
P064202,2025-10-18 13:18:32,policy_change,变更受益人,,,,,
P033995,2025-10-18 17:55:03,register,提交投保申请,,,,,
P075421,2025-10-19 08:28:04,claim_submit,提交理赔材料,,,,,
P033995,2025-10-22 17:55:03,premium_pay,缴纳保费 5784 元,,,5784,,
P042401,2025-10-23 16:42:47,claim_pay,赔付 3844 元,,,3844,,
P075421,2025-10-24 08:28:04,claim_pay,赔付 16286 元,,,16286,,
P015117,2025-10-24 11:43:08,premium_pay,缴纳保费 836 元,,,836,,
P089294,2025-10-25 16:05:09,policy_issue,保单签发（车险，保额 1115954 元）,,,,,
P042401,2025-10-26 16:42:47,survey,现场查勘,,,,公估员-陈,
P033995,2025-10-26 17:55:03,policy_issue,保单签发（寿险，保额 985311 元）,,,,,
P037633,2025-10-26 18:48:11,claim_submit,提交理赔材料,,,,,
P037633,2025-10-26 18:48:11,survey,现场查勘,,,,公估员-赵,
P011643,2025-10-28 11:31:23,claim_pay,赔付 15942 元,,,15942,,
P072201,2025-10-28 14:55:42,register,提交投保申请,,,,,
P042401,2025-10-29 16:42:47,claim_submit,提交理赔材料,,,,,
P037633,2025-10-30 18:48:11,claim_pay,赔付 1885 元,,,1885,,
P015117,2025-10-31 11:43:08,policy_issue,保单签发（健康险，保额 381533 元）,,,,,
P021740,2025-11-02 08:07:29,claim_report,出险报案（延迟 12 天）,,,,,
P072201,2025-11-03 14:55:42,premium_pay,缴纳保费 2894 元,,,2894,,
P075042,2025-11-03 16:58:23,register,提交投保申请,,,,,
P072201,2025-11-08 14:55:42,policy_issue,保单签发（健康险，保额 712423 元）,,,,,
P071180,2025-11-09 11:35:58,register,提交投保申请,,,,,
P075042,2025-11-10 16:58:23,premium_pay,缴纳保费 847 元,,,847,,
P071180,2025-11-13 11:35:58,premium_pay,缴纳保费 1309 元,,,1309,,
P025015,2025-11-13 19:44:01,claim_report,出险报案（同组相近时间）,stage,evasive,,,
P075042,2025-11-15 16:58:23,policy_issue,保单签发（家财险，保额 484208 元）,,,,,
P025015,2025-11-15 19:44:01,repair_visit,车辆维修,collude,evasive,,仁心堂,
P011643,2025-11-20 16:38:27,claim_report,出险报案（门诊费用/意外受伤）,stage,obvious,,,
P062311,2025-11-22 14:59:34,register,提交投保申请,,,,,
P071180,2025-11-24 11:35:58,policy_issue,保单签发（家财险，保额 262855 元）,,,,,
P025015,2025-11-25 19:44:01,claim_submit,提交理赔 10451 元（异地申报）,inflate,evasive,10451,,
P021740,2025-11-26 08:07:29,claim_submit,提交理赔材料（延迟补充）,,,,,
P011643,2025-11-26 16:38:27,invoice_verify_fail,发票验真失败（发票号在税务平台查无）,fabricate,obvious,,,
P062311,2025-11-27 14:59:34,premium_pay,缴纳保费 9726 元,,,9726,,
P011643,2025-11-29 16:38:27,claim_submit,提交发票 20000 元（伪造单据）,fabricate,obvious,20000,,
P062311,2025-11-30 14:59:34,policy_issue,保单签发（寿险，保额 1179433 元）,,,,,
P025015,2025-12-01 19:44:01,claim_pay,赔付 10451 元,cashout,evasive,10451,,
P011643,2025-12-10 16:38:27,claim_reject,因发票验真失败拒赔,cover,obvious,,,
P054702,2025-12-14 15:08:13,register,提交投保申请,,,,,
P054702,2025-12-24 15:08:13,premium_pay,缴纳保费 644 元,,,644,,
P097036,2025-12-25 17:41:02,register,提交投保申请,,,,,
P028550,2025-12-25 18:57:08,register,提交投保申请,,,,,
P097036,2025-12-27 17:41:02,premium_pay,缴纳保费 5505 元,,,5505,,
P054702,2025-12-29 15:08:13,policy_issue,保单签发（意外险，保额 519252 元）,,,,,
P028550,2025-12-29 18:57:08,premium_pay,缴纳保费 6617 元,,,6617,,
P028550,2025-12-29 18:57:08,policy_issue,保单签发（车险，保额 687993 元）,,,,,
P004162,2026-01-05 03:36:01,claim_report,出险报案（意外受伤）,stage,evasive,,,
P001619,2026-01-05 10:44:21,premium_renew,续缴保费,,,17093,,
P097036,2026-01-09 17:41:02,policy_issue,保单签发（车险，保额 655260 元）,,,,,
P021740,2026-01-10 15:57:21,claim_report,出险报案,,,,,
P021740,2026-01-11 15:57:21,medical_visit,就诊检查,,,,康泰医院,
P086628,2026-01-12 22:46:00,claim_report,出险报案,,,,,
P004162,2026-01-13 03:36:01,survey,查勘记录（伪造现场照片）,fabricate,evasive,,公估员-张,
P086628,2026-01-13 22:46:00,medical_visit,就诊检查,,,,康泰医院,
P004162,2026-01-14 03:36:01,claim_submit,提交理赔（虚构伤情）,fabricate,evasive,53160,,
P021740,2026-01-16 20:40:45,premium_renew,续缴保费,,,1043,,
P022744,2026-01-18 17:08:59,register,提交投保申请,,,,,
P054702,2026-01-19 18:34:04,claim_report,出险报案,,,,,
P060173,2026-01-21 14:37:51,register,提交投保申请,,,,,
P053080,2026-01-21 15:49:12,policy_change,变更联系地址,,,,,
P054702,2026-01-22 18:34:04,medical_visit,就诊检查,,,,仁心堂,
P004162,2026-01-23 03:36:01,claim_pay,赔付 53160 元,cashout,evasive,53160,,
P021740,2026-01-24 15:57:21,claim_submit,提交理赔材料,,,,,
P060173,2026-01-25 14:37:51,premium_pay,缴纳保费 3454 元,,,3454,,
P021740,2026-01-26 15:57:21,claim_pay,赔付 16379 元,,,16379,,
P022744,2026-01-27 17:08:59,premium_pay,缴纳保费 4922 元,,,4922,,
P060173,2026-01-28 14:37:51,policy_issue,保单签发（健康险，保额 511460 元）,,,,,
P060036,2026-01-28 18:10:24,premium_renew,续缴保费,,,4578,,
P086628,2026-01-28 22:46:00,claim_submit,提交理赔材料,,,,,
P086628,2026-01-28 22:46:00,claim_pay,赔付 10051 元,,,10051,,
P022744,2026-01-31 17:08:59,policy_issue,保单签发（车险，保额 1096158 元）,,,,,
P078203,2026-02-01 10:37:23,claim_report,出险报案,,,,,
P054702,2026-02-01 18:34:04,claim_submit,提交理赔材料,,,,,
P078203,2026-02-02 10:37:23,medical_visit,就诊检查,,,,康泰医院,
P054702,2026-02-02 18:34:04,claim_pay,赔付 4334 元,,,4334,,
P072198,2026-02-02 19:31:32,register,提交投保申请,,,,,
P072198,2026-02-03 19:31:32,premium_pay,缴纳保费 6745 元,,,6745,,
P072198,2026-02-05 19:31:32,policy_issue,保单签发（车险，保额 1424914 元）,,,,,
P064528,2026-02-07 14:08:40,register,提交投保申请,,,,,
P075421,2026-02-07 14:47:51,register,提交投保申请,,,,,
P061832,2026-02-08 07:04:43,premium_renew,续缴保费,,,3517,,
P078203,2026-02-08 10:37:23,survey,现场查勘,,,,公估员-赵,
P064528,2026-02-08 14:08:40,premium_pay,缴纳保费 8790 元,,,8790,,
P009791,2026-02-08 15:12:44,premium_renew,续缴保费,,,16214,,
P018259,2026-02-11 07:04:40,claim_report,出险报案,,,,,
P092502,2026-02-11 09:02:02,claim_report,出险报案（延迟 12 天）,,,,,
P034190,2026-02-12 18:52:10,claim_report,出险报案,,,,,
P075421,2026-02-13 14:47:51,policy_issue,保单签发（健康险，保额 553386 元）,,,,,
P043699,2026-02-13 17:45:38,premium_renew,续缴保费,,,8083,,
P018259,2026-02-16 07:04:40,repair_visit,车辆维修,,,,通达维修站,
